title,id,release_date,vote_average,actors,director,composer,writer,producer
War,585268,2019-10-02,6.756,"['Hrithik Roshan', 'Tiger Shroff', 'Ashutosh Rana']",Siddharth Anand,Shekhar Ravjiani,Shridhar Raghavan,Aditya Chopra
Free State of Jones,316152,2016-06-24,6.8,"['Matthew McConaughey', 'Gugu Mbatha-Raw', 'Mahershala Ali']",Gary Ross,Nicholas Britell,,Jon Kilik
Death Sentence,11835,2007-08-31,6.8,"['Kevin Bacon', 'Garrett Hedlund', 'Kelly Preston']",James Wan,Charlie Clouser,Ian Mackenzie Jeffers,Howard Baldwin
The Majestic,11086,2001-12-21,6.756,"['Jim Carrey', 'Martin Landau', 'Laurie Holden']",Frank Darabont,Mark Isham,Michael Sloane,Frank Darabont
Sixty Minutes,1212073,2024-01-19,6.755,"['Emilio Sakraya', 'Dennis Mojen', 'Marie Mouroum']",Oliver Kienle,,Oliver Kienle,Hannes Höhn
Subservience,1064028,2024-08-15,6.764,"['Megan Fox', 'Michele Morrone', 'Madeline Zima']",SK Dale,Jed Palmer,Will Honley,Jeffrey Greenstein
Spaceman,636706,2024-02-23,6.755,"['Adam Sandler', 'Paul Dano', 'Carey Mulligan']",Johan Renck,Max Richter,Colby Day,Max Silva
Kill the Irishman,51209,2011-03-10,6.8,"['Ray Stevenson', ""Vincent D'Onofrio"", 'Val Kilmer']",Jonathan Hensleigh,Patrick Cassidy,Jonathan Hensleigh,Al Corley
The Big Kahuna,15723,1999-11-17,6.8,"['Kevin Spacey', 'Danny DeVito', 'Peter Facinelli']",John Swanbeck,Christopher Young,Roger Rueff,Elie Samaha
All Dogs Go to Heaven,11497,1989-11-17,6.755,"['Burt Reynolds', 'Dom DeLuise', 'Judith Barsi']",Don Bluth,Ralph Burns,David N. Weiss,Don Bluth
Frankie and Johnny,3784,1991-10-11,6.8,"['Al Pacino', 'Michelle Pfeiffer', 'Hector Elizondo']",Garry Marshall,Marvin Hamlisch,Terrence McNally,Garry Marshall
Mallrats,2293,1995-10-20,6.8,"['Jason Lee', 'Jeremy London', 'Shannen Doherty']",Kevin Smith,Ira Newborn,,Sean Daniel
The Bikeriders,1008409,2024-06-19,6.759,"['Austin Butler', 'Jodie Comer', 'Tom Hardy']",Jeff Nichols,David Wingo,,Sarah Green
X,760104,2022-03-17,6.753,"['Mia Goth', 'Jenna Ortega', 'Brittany Snow']",Ti West,Chelsea Wolfe,,Ti West
L'Âge d'or,5729,1930-11-28,6.8,"['Gaston Modot', 'Lya Lys', 'Caridad de Laberdesque']",Luis Buñuel,Georges Van Parys,Luis Buñuel,Le Vicomte de Noailles
Scrooge: A Christmas Carol,1001865,2022-11-18,6.764,"['Luke Evans', 'Olivia Colman', 'Jessie Buckley']",Stephen Donnelly,Leslie Bricusse,,Ralph Kamp
The King's Man,476669,2021-12-22,6.753,"['Ralph Fiennes', 'Gemma Arterton', 'Rhys Ifans']",Matthew Vaughn,Matthew Margeson,Matthew Vaughn,Matthew Vaughn
One Man and his Cow,377799,2016-02-17,6.752,"['Fatsah Bouyahmed', 'Lambert Wilson', 'Jamel Debbouze']",Mohamed Hamidi,Ibrahim Maalouf,,Jamel Debbouze
Get on Up,239566,2014-08-01,6.752,"['Chadwick Boseman', 'Nelsan Ellis', 'Dan Aykroyd']",Tate Taylor,Thomas Newman,Jez Butterworth,Brian Grazer
Justice League vs. the Fatal Five,537059,2019-03-29,6.751,"['Elyes Gabel', 'Diane Guerrero', 'Kevin Conroy']",Sam Liu,Michael McCuistion,,Sam Liu
The World Is Yours,504603,2018-08-15,6.8,"['Karim Leklou', 'Isabelle Adjani', 'Vincent Cassel']",Romain Gavras,Sebastian,Karim Boukercha,Jean Duhamel
Nosferatu,426063,2024-12-25,6.757,"['Lily-Rose Depp', 'Nicholas Hoult', 'Bill Skarsgård']",Robert Eggers,Robin Carolan,Robert Eggers,Jeff Robinov
13 Going on 30,10096,2004-04-13,6.751,"['Jennifer Garner', 'Mark Ruffalo', 'Judy Greer']",Gary Winick,Theodore Shapiro,Josh Goldsmith,Donna Roth
The Devil's Rejects,1696,2005-07-22,6.751,"['Sid Haig', 'Bill Moseley', 'Sheri Moon Zombie']",Rob Zombie,Tyler Bates,Rob Zombie,Rob Zombie
Terrifier 2,663712,2022-10-06,6.8,"['David Howard Thornton', 'Lauren LaVera', 'Elliott Fullam']",Damien Leone,Paul Wiley,,Steven Della Salla
Gladiator II,558449,2024-11-05,6.757,"['Paul Mescal', 'Denzel Washington', 'Pedro Pascal']",Ridley Scott,Harry Gregson-Williams,David Scarpa,Michael A. Pruss
The Highwaymen,500682,2019-03-15,6.75,"['Kevin Costner', 'Woody Harrelson', 'Kathy Bates']",John Lee Hancock,Thomas Newman,,Casey Silver
The Mummy,15849,1932-12-22,6.8,"['Boris Karloff', 'Zita Johann', 'David Manners']",Karl Freund,James Dietrich,John L. Balderston,Carl Laemmle Jr.
Riding in Cars with Boys,11091,2001-10-19,6.8,"['Drew Barrymore', 'Steve Zahn', 'Adam Garcia']",Penny Marshall,Hans Zimmer,Morgan Ward,Julie Ansell
Oliver Twist,257,2005-09-23,6.75,"['Barney Clark', 'Ben Kingsley', 'Jamie Foreman']",Roman Polanski,Rachel Portman,Ronald Harwood,Robert Benmussa
Freaks,539892,2019-09-12,6.75,"['Emile Hirsch', 'Bruce Dern', 'Grace Park']",Adam B. Stein,Tim Wynn,,Mitchell Waxman
The Clan,352161,2015-08-13,6.749,"['Guillermo Francella', 'Peter Lanzani', 'Gastón Cocchiarale']",Pablo Trapero,Sebastián Escofet,,Hugo Sigman
Breaking Surface,616803,2020-02-14,6.7,"['Moa Gammel', 'Madeleine Martin', 'Lena Hope']",Joachim Hedén,Patrick Kirst,,Peter Possne
Serial Mom,11592,1994-04-13,6.7,"['Kathleen Turner', 'Sam Waterston', 'Ricki Lake']",John Waters,Basil Poledouris,,John Fiedler
Dragon Ball Z: Broly - Second Coming,44251,1994-03-12,6.7,"['Masako Nozawa', 'Mayumi Tanaka', 'Takeshi Kusao']",Shigeyasu Yamauchi,Shunsuke Kikuchi,Takao Koyama,
The Firm,37233,1993-06-30,6.7,"['Tom Cruise', 'Jeanne Tripplehorn', 'Gene Hackman']",Sydney Pollack,Dave Grusin,David Rabe,John Davis
Bring It On: Fight to the Finish,21474,2009-07-30,6.747,"['Christina Milian', 'Cody Longo', 'Rachele Brooke Smith']",Bille Woodruff,Andrew Gross,,David Brookwell
Sid and Nancy,14924,1986-09-12,6.747,"['Gary Oldman', 'Chloe Webb', 'David Hayman']",Alex Cox,Dan Wool,Abbe Wool,Eric Fellner
Life Is a Long Quiet River,4271,1988-02-03,6.747,"['Benoît Magimel', 'Valérie Lalande', 'Catherine Hiegel']",Étienne Chatiliez,Gérard Kawczynski,Étienne Chatiliez,
Bros,614939,2022-09-30,6.746,"['Billy Eichner', 'Luke Macfarlane', 'Guy Branum']",Nicholas Stoller,Marc Shaiman,,Judd Apatow
Battlestar Galactica: The Plan,105077,2009-10-27,6.7,"['Edward James Olmos', 'Dean Stockwell', 'Michael Trucco']",Edward James Olmos,Bear McCreary,,Maril Davis
Bridget Jones's Diary,634,2001-04-13,6.746,"['Renée Zellweger', 'Colin Firth', 'Hugh Grant']",Sharon Maguire,Patrick Doyle,Helen Fielding,Eric Fellner
The Life Ahead,667869,2020-11-03,6.7,"['Sophia Loren', 'Ibrahima Gueye', 'Renato Carpentieri']",Edoardo Ponti,Gabriel Yared,Ugo Chiti,Nicola Serra
Miracle on 34th Street,10510,1994-11-18,6.745,"['Mara Wilson', 'Richard Attenborough', 'Dylan McDermott']",Les Mayfield,Bruce Broughton,George Seaton,John Hughes
Chopper,9519,2000-06-21,6.745,"['Eric Bana', 'Vince Colosimo', 'Simon Lyndon']",Andrew Dominik,,Andrew Dominik,Michele Bennett
Bad Education,530723,2019-09-08,6.7,"['Hugh Jackman', 'Allison Janney', 'Geraldine Viswanathan']",Cory Finley,Michael Abels,Mike Makowsky,Fred Berger
Unthinkable,38199,2010-06-14,6.7,"['Samuel L. Jackson', 'Carrie-Anne Moss', 'Michael Sheen']",Gregor Jordan,Graeme Revell,,Marco Weber
Young Sherlock Holmes,11904,1985-12-04,6.744,"['Nicholas Rowe', 'Alan Cox', 'Sophie Ward']",Barry Levinson,Bruce Broughton,Chris Columbus,Henry Winkler
Rush Hour 2,5175,2001-08-03,6.744,"['Jackie Chan', 'Chris Tucker', 'John Lone']",Brett Ratner,Lalo Schifrin,Jeff Nathanson,Jonathan Glickman
Pokémon the Movie: Mewtwo Strikes Back - Evolution,571891,2019-07-12,6.7,"['Rica Matsumoto', 'Ikue Otani', 'Mayumi Izuka']",Motonori Sakakibara,Shinji Miyazaki,,
The Cat o' Nine Tails,27431,1971-02-12,6.7,"['James Franciscus', 'Karl Malden', 'Catherine Spaak']",Dario Argento,Ennio Morricone,Dario Argento,Salvatore Argento
High Tension,10226,2003-06-18,6.743,"['Cécile de France', 'Maïwenn', 'Philippe Nahon']",Alexandre Aja,François-Eudes Chanfrault,,Alexandre Arcady
Con Air,1701,1997-06-05,6.743,"['Nicolas Cage', 'John Cusack', 'John Malkovich']",Simon West,Mark Mancina,Scott Rosenberg,Jerry Bruckheimer
Bad Tales,614292,2020-06-15,6.7,"['Elio Germano', 'Tommaso Di Cola', 'Giulietta Rebeggiani']",Damiano D'Innocenzo,,,Giuseppe Saccà
Black Beauty,14522,1994-07-29,6.7,"['Alan Cumming', 'Docs Keepin Time', 'Sean Bean']",Caroline Thompson,Danny Elfman,Caroline Thompson,Peter Macgregor-Scott
Fantomas vs. Scotland Yard,1875,1967-03-16,6.7,"['Jean Marais', 'Louis de Funès', 'Mylène Demongeot']",André Hunebelle,Michel Magne,Jean Halain,André Hunebelle
The Thomas Crown Affair,913,1999-08-06,6.743,"['Pierce Brosnan', 'Rene Russo', 'Denis Leary']",John McTiernan,Bill Conti,Leslie Dixon,Beau St. Clair
Road House,10135,1989-05-19,6.741,"['Patrick Swayze', 'Kelly Lynch', 'Sam Elliott']",Rowdy Herrington,Michael Kamen,R. Lance Hill,Joel Silver
Kingsglaive: Final Fantasy XV,390734,2016-07-09,6.7,"['Go Ayano', 'Shioli Kutsuna', 'Ayumi Fujimura']",Takeshi Nozue,,,Hajime Tabata
Do you know Claudia?,57112,2004-12-15,6.7,"['Aldo Baglio', 'Giovanni Storti', 'Giacomo Poretti']",Massimo Venier,Andrea Guerra,Massimo Venier,Paolo Guerra
Twin Dragons,18764,1992-01-15,6.7,"['Jackie Chan', 'Maggie Cheung Man-Yuk', 'Nina Li Chi']",Ringo Lam,Barrington Pheloung,,Ng See-Yuen
Your Friend the Rat,13061,2007-11-06,6.74,"['Patton Oswalt', 'Peter Sohn', 'Lou Romano']",Jim Capobianco,Alex Mandel,,Ann Brilz
Memphis Belle,12651,1990-09-07,6.74,"['Matthew Modine', 'Eric Stoltz', 'Tate Donovan']",Michael Caton-Jones,George Fenton,Monte Merrick,David Puttnam
The Tree of Life,8967,2011-05-17,6.74,"['Brad Pitt', 'Sean Penn', 'Jessica Chastain']",Terrence Malick,Alexandre Desplat,,Bill Pohlad
Pawn Sacrifice,245698,2015-09-16,6.739,"['Tobey Maguire', 'Peter Sarsgaard', 'Liev Schreiber']",Edward Zwick,James Newton Howard,Stephen J. Rivele,Tobey Maguire
Hearts in Atlantis,11313,2001-09-28,6.739,"['Anthony Hopkins', 'Anton Yelchin', 'Hope Davis']",Scott Hicks,Mychael Danna,William Goldman,Kerry Heysen
Mission: Impossible III,956,2006-04-25,6.739,"['Tom Cruise', 'Philip Seymour Hoffman', 'Ving Rhames']",J.J. Abrams,Michael Giacchino,,Tom Cruise
Love Again,758336,2023-05-04,6.741,"['Priyanka Chopra Jonas', 'Sam Heughan', 'Céline Dion']",Jim Strouse,,Jim Strouse,Basil Iwanyk
Godmothered,662546,2020-12-04,6.738,"['Jillian Bell', 'Isla Fisher', 'Santiago Cabrera']",Sharon Maguire,Rachel Portman,Kari Granlund,Justin Springer
The Quake,416194,2018-08-31,6.7,"['Kristoffer Joner', 'Ane Dahl Torp', 'Jonas Hoff Oftebro']",John Andreas Andersen,Johannes Ringen,,Are Heidenstrøm
Before We Go,283350,2014-09-04,6.739,"['Chris Evans', 'Alice Eve', 'Emma Fitzpatrick']",Chris Evans,Chris Westlake,,Chris Evans
Rio,46195,2011-04-03,6.738,"['Jesse Eisenberg', 'Anne Hathaway', 'Leslie Mann']",Carlos Saldanha,John Powell,Sam Harper,Bruce Anderson
Machine Gun Preacher,45610,2011-09-23,6.7,"['Gerard Butler', 'Michelle Monaghan', 'Kathy Baker']",Marc Forster,Asche & Spencer,Jason Keller,Craig Chapman
The Messenger,28089,2009-11-13,6.7,"['Ben Foster', 'Woody Harrelson', 'Jena Malone']",Oren Moverman,Nathan Larson,,Lawrence Inglee
Dragon Ball Z: Dead Zone,28609,1989-07-15,6.7,"['Masako Nozawa', 'Toshio Furukawa', 'Hiromi Tsuru']",Daisuke Nishio,,,
Sleepless in Seattle,858,1993-06-24,6.7,"['Meg Ryan', 'Tom Hanks', 'Ross Malinger']",Nora Ephron,Marc Shaiman,David S. Ward,Gary Foster
Fractured,568091,2019-09-22,6.736,"['Sam Worthington', 'Lily Rabe', 'Stephen Tobolowsky']",Brad Anderson,Anton Sanko,,Neal Edelstein
Deadwood: The Movie,538225,2019-05-31,6.736,"['Timothy Olyphant', 'Ian McShane', 'Molly Parker']",Daniel Minahan,,,
One Shot,811592,2021-11-05,6.733,"['Scott Adkins', 'Ashley Greene', 'Ryan Phillippe']",James Nunn,Austin Wintory,,Marc Goldberg
Shadow,463319,2018-09-30,6.735,"['Deng Chao', 'Sun Li', 'Ryan Zheng Kai']",Zhang Yimou,Loudboy,Zhang Yimou,Liu Jun
Metro,174733,2013-02-21,6.735,"['Sergey Puskepalis', 'Anatoliy Belyy', 'Svetlana Khodchenkova']",Anton Megerdichev,Yuriy Poteenko,Viktoriya Evseeva,Igor Tolstunov
Coma,11223,1978-01-06,6.7,"['Geneviève Bujold', 'Michael Douglas', 'Elizabeth Ashley']",Michael Crichton,Jerry Goldsmith,Michael Crichton,Martin Erlichman
"See No Evil, Hear No Evil",11185,1989-05-12,6.735,"['Richard Pryor', 'Gene Wilder', 'Joan Severance']",Arthur Hiller,Stewart Copeland,Arne Sultan,Marvin Worth
Cat's Eye,10552,1985-04-12,6.735,"['Drew Barrymore', 'James Woods', 'Alan King']",Lewis Teague,Alan Silvestri,Stephen King,Dino De Laurentiis
Detroit Rock City,9781,1999-08-13,6.735,"['Giuseppe Andrews', 'James DeBello', 'Edward Furlong']",Adam Rifkin,J. Peter Robinson,,Kathleen Haase
He Got Game,9469,1998-05-01,6.7,"['Denzel Washington', 'Ray Allen', 'Rosario Dawson']",Spike Lee,,Spike Lee,Spike Lee
Superman II,8536,1980-12-12,6.735,"['Christopher Reeve', 'Terence Stamp', 'Gene Hackman']",Richard Lester,Ken Thorne,Leslie Newman,Pierre Spengler
Badland Hunters,933131,2024-01-25,6.734,"['Ma Dong-seok', 'Lee Hee-jun', 'Lee Jun-young']",Heo Myeong-haeng,Kim Dong-wook,,Choi Won-ki
Blue Beetle,565770,2023-08-16,6.733,"['Xolo Mariduena', 'Bruna Marquezine', 'Susan Sarandon']",Ángel Manuel Soto,Bobby Krlic,,John Rickard
Acrimony,464502,2018-03-30,6.734,"['Taraji P. Henson', 'Lyriq Bent', 'Crystle Stewart']",Tyler Perry,Christopher Lennertz,Tyler Perry,Ozzie Areu
What If,212716,2013-09-07,6.732,"['Daniel Radcliffe', 'Zoe Kazan', 'Megan Park']",Michael Dowse,A.C. Newman,Elan Mastai,Macdara Kelleher
Kung Fu Panda: Secrets of the Furious Five,15854,2008-11-08,6.734,"['Jack Black', 'Dustin Hoffman', 'David Cross']",Raman Hui,John Powell,Todd Berger,Karen Foster
Henry: Portrait of a Serial Killer,10692,1986-09-24,6.7,"['Michael Rooker', 'Tracy Arnold', 'Tom Towles']",John McNaughton,Ken Hale,Richard Fire,Steven A. Jones
The Nun II,968051,2023-09-06,6.732,"['Taissa Farmiga', 'Jonas Bloquet', 'Storm Reid']",Michael Chaves,Marco Beltrami,Akela Cooper,James Wan
Tallulah,353571,2016-06-02,6.733,"['Elliot Page', 'Allison Janney', 'Tammy Blanchard']",Siân Heder,Michael Brook,,Todd Traina
The Good Dinosaur,105864,2015-11-14,6.733,"['Frances McDormand', 'Raymond Ochoa', 'Jeffrey Wright']",Peter Sohn,Jeff Danna,Meg LeFauve,Denise Ream
Tinker Bell and the Great Fairy Rescue,44683,2010-07-29,6.7,"['Mae Whitman', 'Lauren Mote', 'Michael Sheen']",Bradley Raymond,Joel McNeely,Paul Germain,Helen Kalafatic
Silver Streak,11558,1976-12-03,6.7,"['Gene Wilder', 'Jill Clayburgh', 'Richard Pryor']",Arthur Hiller,Henry Mancini,,Thomas L. Miller
Fellini Satyricon,11163,1969-09-18,6.733,"['Martin Potter', 'Hiram Keller', 'Max Born']",Federico Fellini,Tod Dockstader,Federico Fellini,Alberto Grimaldi
May God Save Us,394684,2016-10-28,6.7,"['Antonio de la Torre', 'Roberto Álamo', 'Javier Pereira']",Rodrigo Sorogoyen,Olivier Arson,,Gerardo Herrero
Kinky Boots,16367,2005-08-30,6.732,"['Joel Edgerton', 'Chiwetel Ejiofor', 'Sarah-Jane Potts']",Julian Jarrold,Adrian Johnston,Geoff Deane,Mairi Bett
The Hound of the Baskervilles,11791,1959-05-04,6.7,"['Peter Cushing', 'André Morell', 'Christopher Lee']",Terence Fisher,James Bernard,Peter Bryan,Anthony Hinds
Waitress,10758,2007-05-25,6.7,"['Keri Russell', 'Nathan Fillion', 'Andy Griffith']",Adrienne Shelly,Andrew Hollander,,Michael Roiff
Maze Runner: The Scorch Trials,294254,2015-09-09,6.7,"[""Dylan O'Brien"", 'Kaya Scodelario', 'Thomas Brodie-Sangster']",Wes Ball,John Paesano,T.S. Nowlin,Lee Stollman
Romeo & Juliet,91745,2013-09-12,6.731,"['Douglas Booth', 'Hailee Steinfeld', 'Damian Lewis']",Carlo Carlei,Abel Korzeniowski,Julian Fellowes,Simon Bosanquet
The Whistleblower,65760,2010-09-13,6.7,"['Rachel Weisz', 'Vanessa Redgrave', 'Monica Bellucci']",Larysa Kondracki,Mychael Danna,,Christina Piovesan
Whip It,22798,2009-04-09,6.7,"['Elliot Page', 'Alia Shawkat', 'Marcia Gay Harden']",Drew Barrymore,,Shauna Cross,Barry Mendel
A Love Song for Bobby Long,9953,2004-09-02,6.7,"['John Travolta', 'Scarlett Johansson', 'Gabriel Macht']",Shainee Gabel,Nathan Larson,,Linda Favila
Family Plot,5854,1976-04-09,6.7,"['Barbara Harris', 'Bruce Dern', 'Karen Black']",Alfred Hitchcock,John Williams,Ernest Lehman,Alfred Hitchcock
Mermaids,4587,1990-12-14,6.7,"['Cher', 'Winona Ryder', 'Christina Ricci']",Richard Benjamin,Jack Nitzsche,June Roberts,Lauren Lloyd
The Matrix Revolutions,605,2003-11-05,6.7,"['Keanu Reeves', 'Laurence Fishburne', 'Carrie-Anne Moss']",Lilly Wachowski,Don Davis,,Joel Silver
Soap and Water,37777,1983-10-27,6.7,"['Carlo Verdone', 'Natasha Hovey', 'Florinda Bolkan']",Carlo Verdone,,Carlo Verdone,Mario Cecchi Gori
Shadows and Fog,19200,1991-12-05,6.7,"['Woody Allen', 'Kathy Bates', 'John Cusack']",Woody Allen,,,Robert Greenhut
Son of Rambow,13258,2007-01-22,6.7,"['Bill Milner', 'Will Poulter', 'Jessica Hynes']",Garth Jennings,Joby Talbot,Garth Jennings,Trevor Evans
Thunderbolt and Lightfoot,8348,1974-05-23,6.7,"['Clint Eastwood', 'Jeff Bridges', 'Geoffrey Lewis']",Michael Cimino,Dee Barton,Michael Cimino,Robert Daley
Camp X-Ray,244506,2014-10-17,6.729,"['Kristen Stewart', 'Payman Maadi', 'Lane Garrison']",Peter Sattler,Jess Stroup,Peter Sattler,Gina Kwon
Germinal,51980,1993-09-29,6.729,"['Miou-Miou', 'Renaud', 'Jean Carmet']",Claude Berri,Jean-Louis Roques,Arlette Langmann,Claude Berri
The Boys from Brazil,16241,1978-10-05,6.7,"['Gregory Peck', 'Laurence Olivier', 'James Mason']",Franklin J. Schaffner,Jerry Goldsmith,Heywood Gould,Stanley O'Toole
The Enforcer,10649,1976-12-16,6.7,"['Clint Eastwood', 'Tyne Daly', 'Harry Guardino']",James Fargo,Jerry Fielding,Stirling Silliphant,Robert Daley
Hush,376570,2016-03-12,6.728,"['Kate Siegel', 'John Gallagher Jr.', 'Samantha Sloyan']",Mike Flanagan,Andrew Grush,,Trevor Macy
Nymphomaniac: Vol. II,249397,2013-12-25,6.7,"['Charlotte Gainsbourg', 'Stellan Skarsgård', 'Stacy Martin']",Lars von Trier,,,Peter Aalbæk Jensen
Rock Star,12508,2001-09-04,6.728,"['Mark Wahlberg', 'Jennifer Aniston', 'Dominic West']",Stephen Herek,Trevor Rabin,John Stockwell,Toby Jaffe
Frantic,10675,1988-02-19,6.7,"['Harrison Ford', 'Emmanuelle Seigner', 'Betty Buckley']",Roman Polanski,Ennio Morricone,,Tim Hampton
Demolition Man,9739,1993-10-08,6.7,"['Sylvester Stallone', 'Wesley Snipes', 'Sandra Bullock']",Marco Brambilla,Elliot Goldenthal,Daniel Waters,Joel Silver
Burn Out,460059,2018-01-03,6.727,"['François Civil', 'Olivier Rabourdin', 'Manon Azem']",Yann Gozlan,Grégoire Auger,Yann Gozlan,Wassim Béji
Retribution,351145,2015-09-21,6.727,"['Luis Tosar', 'Paula del Río', 'Marco Sanz']",Dani de la Torre,,,Borja Pena
Disenchanted,338958,2022-11-18,6.727,"['Amy Adams', 'Patrick Dempsey', 'Maya Rudolph']",Adam Shankman,Alan Menken,Brigitte Hales,Amy Adams
Escape Plan,107846,2013-10-09,6.727,"['Sylvester Stallone', 'Arnold Schwarzenegger', 'Jim Caviezel']",Mikael Håfström,Alex Heffes,Jason Keller,Remington Chase
Paul,39513,2011-02-14,6.7,"['Simon Pegg', 'Nick Frost', 'Seth Rogen']",Greg Mottola,David Arnold,,Nira Park
My Brother Is an Only Child,9789,2007-03-28,6.727,"['Elio Germano', 'Riccardo Scamarcio', 'Angela Finocchiaro']",Daniele Luchetti,Franco Piersanti,Daniele Luchetti,Riccardo Tozzi
Hibernatus,2462,1969-09-10,6.7,"['Louis de Funès', 'Claude Gensac', 'Bernard Alane']",Édouard Molinaro,Georges Delerue,,Angelo Rizzoli
Bob Marley: One Love,802219,2024-02-14,6.731,"['Kingsley Ben-Adir', 'Lashana Lynch', 'James Norton']",Reinaldo Marcus Green,Kris Bowers,Frank E. Flowers,Cedella Marley
Long Shot,459992,2019-05-02,6.727,"['Charlize Theron', 'Seth Rogen', ""O'Shea Jackson Jr.""]",Jonathan Levine,Marco Beltrami,Dan Sterling,Seth Rogen
Beverly Hills Cop: Axel F,280180,2024-06-20,6.726,"['Eddie Murphy', 'Joseph Gordon-Levitt', 'Taylour Paige']",Mark Molloy,Lorne Balfe,Tom Gormican,Jerry Bruckheimer
What We Did on Our Holiday,276843,2014-09-26,6.726,"['David Tennant', 'Rosamund Pike', 'Billy Connolly']",Guy Jenkin,Alex Heffes,Andy Hamilton,Joanie Blaikie
DuckTales: The Movie - Treasure of the Lost Lamp,10837,1990-08-03,6.726,"['Alan Young', 'Terence McGovern', 'Russi Taylor']",Bob Hathcock,David Newman,Alan Burnett,Bob Hathcock
The Girl Next Door,10591,2004-04-09,6.726,"['Emile Hirsch', 'Elisha Cuthbert', 'Timothy Olyphant']",Luke Greenfield,Paul Haslinger,,Harry Gittes
Overlord,438799,2018-11-01,6.725,"['Jovan Adepo', 'Wyatt Russell', 'Pilou Asbæk']",Julius Avery,Jed Kurzel,Billy Ray,J.J. Abrams
Bumblebee,424783,2018-12-15,6.725,"['Hailee Steinfeld', 'John Cena', 'Jorge Lendeborg Jr.']",Travis Knight,Dario Marianelli,,Lorenzo di Bonaventura
The Da Vinci Code,591,2006-05-17,6.725,"['Tom Hanks', 'Audrey Tautou', 'Ian McKellen']",Ron Howard,Hans Zimmer,Akiva Goldsman,John Calley
Ocean's Thirteen,298,2007-06-05,6.7,"['George Clooney', 'Brad Pitt', 'Matt Damon']",Steven Soderbergh,David Holmes,,Jerry Weintraub
Bad Samaritan,467632,2018-04-19,6.724,"['David Tennant', 'Robert Sheehan', 'Kerry Condon']",Dean Devlin,Joseph LoDuca,Brandon Boyce,Tony Malzone
Welcome to the South,48415,2010-10-01,6.7,"['Claudio Bisio', 'Alessandro Siani', 'Angela Finocchiaro']",Luca Miniero,Umberto Scipione,Massimo Gaudioso,Giovanni Stabilini
Superman: Doomsday,13640,2007-09-18,6.724,"['Adam Baldwin', 'Anne Heche', 'James Marsters']",Lauren Montgomery,,Duane Capizzi,Bruce Timm
Inside,13312,2007-06-13,6.724,"['Alysson Paradis', 'Béatrice Dalle', 'Nathalie Roussel']",Alexandre Bustillo,François-Eudes Chanfrault,,Vérane Frédiani
Broadcast News,12626,1987-12-16,6.724,"['William Hurt', 'Albert Brooks', 'Holly Hunter']",James L. Brooks,Bill Conti,James L. Brooks,James L. Brooks
Fletch,9749,1985-05-31,6.724,"['Chevy Chase', 'Tim Matheson', 'Dana Wheeler-Nicholson']",Michael Ritchie,Harold Faltermeyer,Andrew Bergman,Peter Douglas
The Fog,790,1980-02-07,6.7,"['Adrienne Barbeau', 'Hal Holbrook', 'Janet Leigh']",John Carpenter,John Carpenter,Debra Hill,Barry Bernardi
Batman: Soul of the Dragon,732450,2021-01-12,6.723,"['David Giuntoli', 'Mark Dacascos', 'Kelly Hu']",Sam Liu,Joachim Horsley,,Sam Liu
Million Dollar Arm,198185,2014-05-09,6.723,"['Jon Hamm', 'Bill Paxton', 'Lake Bell']",Craig Gillespie,A.R. Rahman,Tom McCarthy,Gordon Gray
White Fang,12227,1991-01-18,6.7,"['Klaus Maria Brandauer', 'Ethan Hawke', 'Seymour Cassel']",Randal Kleiser,Basil Poledouris,Jeanne Rosenberg,Marykay Powell
Dog Soldiers,11880,2002-05-10,6.723,"['Sean Pertwee', 'Kevin McKidd', 'Emma Cleasby']",Neil Marshall,Mark Thomas,,David E. Allen
Saturday Night Fever,11009,1977-12-16,6.726,"['John Travolta', 'Karen Lynn Gorney', 'Barry Miller']",John Badham,Maurice Gibb,Norman Wexler,Robert Stigwood
